word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
a bit,phr.,/ə/ /bɪt/,有点；一点,a small amount; slightly,a little,slightly,somewhat,I am ______ tired after the long walk.,Some people feel ______ happier when they spend time with family.,走了很长一段路后，我有点累。,有些人觉得，花时间和家人在一起会稍微更快乐一点。
a bit of,phr.,/ə/ /bɪt/ /ɒv/,少量,a small amount of something,a little,some,a small amount of,Can I have ______ your water?,A ______ daily exercise can improve a person's health.,我能喝一点你的水吗？,每天做一点运动可以改善一个人的健康。
activity,n.,/ækˈtɪvəti/,活动,"something that you do, often for a purpose",task,action,pursuit,We did a fun ______ at school today.,Physical ______ is important for students' health in many countries.,我们今天在学校做了一个有趣的活动。,在许多国家，身体活动对学生的健康很重要。
adverb,n.,/ˈædvɜːb/,副词,a word that gives more information about a verb or adjective,modifier,qualifier,describing word,The word 'Quickly' is an ______ in this sentence.,Understanding the ______ helps learners use language more clearly.,“Quickly” 在这句话里是个副词。,理解副词有助于学习者更清晰地使用语言。
after school,phr.,/ˈɑːftə/ /skuːl/,放学后,the time after the school day ends,after class,when school finishes,post-school,I play football ______ every day.,______ programmes can help young people learn useful skills.,我每天放学后踢足球。,放学后的项目能帮助年轻人学到有用的技能。
amazing,adj.,/əˈmeɪzɪŋ/,令人大为惊奇的,very surprising and wonderful,surprising,astonishing,wonderful,The view from the mountain was ______.,Technology has made ______ changes to the way people communicate.,从山上看到的景色令人惊叹。,科技给人们的交流方式带来了惊人的改变。
area,n.,/ˈeəriə/,地区；地域,a part of a place or surface,region,zone,place,This ______ of the park is very quiet.,Living in a safe ______ is important for a family's quality of life.,公园的这一带非常安静。,住在一个安全的区域对家庭生活质量很重要。
around the world,phr.,/əˈraʊnd/ /ðə/ /wɜːld/,世界各地,in many different countries,worldwide,globally,everywhere,People ______ enjoy music.,Climate change is a problem ______.,全世界的人都喜欢音乐。,气候变化是一个全世界的问题。
article,n.,/ˈɑːtɪkəl/,文章,"a piece of writing in a newspaper, magazine, or website",text,piece,report,I read an interesting ______ about space.,Reading news ______ helps students learn about world issues.,我读了一篇关于太空的有趣文章。,阅读新闻文章有助于学生了解世界议题。
at birth,phr.,/æt/ /bɜːθ/,出生时,at the time when a baby is born,when born,from birth,on being born,The baby was small ______.,Some abilities are decided ______ and cannot be changed later.,这个婴儿出生时很小。,有些能力在出生时就决定了，以后无法改变。
at the checkout,phr.,/æt/ /ðə/ /ˈʧəkˈaʊt/,在付款处,the place in a shop where you pay,at the till,at the counter,when paying,We waited ______ for a long time.,Long queues ______ can make shopping unpleasant for customers.,我们在收银台等了很久。,收银台前排长队会让顾客购物体验变差。
